sepal_length,sepal_width,petal_length,petal_width,species,date_col
5.1,3.5,1.4,0.2,setosa,03-24-2021
4.9,3.0,1.4,0.2,setosa,03-25-2021
4.7,3.2,1.3,0.2,setosa,03-26-2021
4.6,3.1,1.5,0.2,setosa,03-27-2021
5.0,3.6,1.4,0.2,setosa,03-28-2021
5.4,3.9,1.7,0.4,setosa,03-29-2021
4.6,3.4,1.4,0.3,setosa,03-30-2021
5.0,3.4,1.5,0.2,setosa,03-31-2021
4.4,2.9,1.4,0.2,setosa,04-01-2021
4.9,3.1,1.5,0.1,setosa,04-02-2021
5.4,3.7,1.5,0.2,setosa,04-03-2021
4.8,3.4,1.6,0.2,setosa,04-04-2021
4.8,3.0,1.4,0.1,setosa,04-05-2021
4.3,3.0,1.1,0.1,setosa,04-06-2021
5.8,4.0,1.2,0.2,setosa,04-07-2021
5.7,4.4,1.5,0.4,setosa,04-08-2021
5.4,3.9,1.3,0.4,setosa,04-09-2021
5.1,3.5,1.4,0.3,setosa,04-10-2021
5.7,3.8,1.7,0.3,setosa,04-11-2021
5.1,3.8,1.5,0.3,setosa,04-12-2021
5.4,3.4,1.7,0.2,setosa,04-13-2021
5.1,3.7,1.5,0.4,setosa,04-14-2021
4.6,3.6,1.0,0.2,setosa,04-15-2021
5.1,3.3,1.7,0.5,setosa,04-16-2021
4.8,3.4,1.9,0.2,setosa,04-17-2021
5.0,3.0,1.6,0.2,setosa,04-18-2021
5.0,3.4,1.6,0.4,setosa,04-19-2021
5.2,3.5,1.5,0.2,setosa,04-20-2021
5.2,3.4,1.4,0.2,setosa,04-21-2021
4.7,3.2,1.6,0.2,setosa,04-22-2021
4.8,3.1,1.6,0.2,setosa,04-23-2021
5.4,3.4,1.5,0.4,setosa,04-24-2021
5.2,4.1,1.5,0.1,setosa,04-25-2021
5.5,4.2,1.4,0.2,setosa,04-26-2021
4.9,3.1,1.5,0.2,setosa,04-27-2021
5.0,3.2,1.2,0.2,setosa,04-28-2021
5.5,3.5,1.3,0.2,setosa,04-29-2021
4.9,3.6,1.4,0.1,setosa,04-30-2021
4.4,3.0,1.3,0.2,setosa,05-01-2021
5.1,3.4,1.5,0.2,setosa,05-02-2021
5.0,3.5,1.3,0.3,setosa,05-03-2021
4.5,2.3,1.3,0.3,setosa,05-04-2021
4.4,3.2,1.3,0.2,setosa,05-05-2021
5.0,3.5,1.6,0.6,setosa,05-06-2021
5.1,3.8,1.9,0.4,setosa,05-07-2021
4.8,3.0,1.4,0.3,setosa,05-08-2021
5.1,3.8,1.6,0.2,setosa,05-09-2021
4.6,3.2,1.4,0.2,setosa,05-10-2021
5.3,3.7,1.5,0.2,setosa,05-11-2021
5.0,3.3,1.4,0.2,setosa,05-12-2021
7.0,3.2,4.7,1.4,versicolor,05-13-2021
6.4,3.2,4.5,1.5,versicolor,05-14-2021
6.9,3.1,4.9,1.5,versicolor,05-15-2021
5.5,2.3,4.0,1.3,versicolor,05-16-2021
6.5,2.8,4.6,1.5,versicolor,05-17-2021
5.7,2.8,4.5,1.3,versicolor,05-18-2021
6.3,3.3,4.7,1.6,versicolor,05-19-2021
4.9,2.4,3.3,1.0,versicolor,05-20-2021
6.6,2.9,4.6,1.3,versicolor,05-21-2021
5.2,2.7,3.9,1.4,versicolor,05-22-2021
5.0,2.0,3.5,1.0,versicolor,05-23-2021
5.9,3.0,4.2,1.5,versicolor,05-24-2021
6.0,2.2,4.0,1.0,versicolor,05-25-2021
6.1,2.9,4.7,1.4,versicolor,05-26-2021
5.6,2.9,3.6,1.3,versicolor,05-27-2021
6.7,3.1,4.4,1.4,versicolor,05-28-2021
5.6,3.0,4.5,1.5,versicolor,05-29-2021
5.8,2.7,4.1,1.0,versicolor,05-30-2021
6.2,2.2,4.5,1.5,versicolor,05-31-2021
5.6,2.5,3.9,1.1,versicolor,06-01-2021
5.9,3.2,4.8,1.8,versicolor,06-02-2021
6.1,2.8,4.0,1.3,versicolor,06-03-2021
6.3,2.5,4.9,1.5,versicolor,06-04-2021
6.1,2.8,4.7,1.2,versicolor,06-05-2021
6.4,2.9,4.3,1.3,versicolor,06-06-2021
6.6,3.0,4.4,1.4,versicolor,06-07-2021
6.8,2.8,4.8,1.4,versicolor,06-08-2021
6.7,3.0,5.0,1.7,versicolor,06-09-2021
6.0,2.9,4.5,1.5,versicolor,06-10-2021
5.7,2.6,3.5,1.0,versicolor,06-11-2021
5.5,2.4,3.8,1.1,versicolor,06-12-2021
5.5,2.4,3.7,1.0,versicolor,06-13-2021
5.8,2.7,3.9,1.2,versicolor,06-14-2021
6.0,2.7,5.1,1.6,versicolor,06-15-2021
5.4,3.0,4.5,1.5,versicolor,06-16-2021
6.0,3.4,4.5,1.6,versicolor,06-17-2021
6.7,3.1,4.7,1.5,versicolor,06-18-2021
6.3,2.3,4.4,1.3,versicolor,06-19-2021
5.6,3.0,4.1,1.3,versicolor,06-20-2021
5.5,2.5,4.0,1.3,versicolor,06-21-2021
5.5,2.6,4.4,1.2,versicolor,06-22-2021
6.1,3.0,4.6,1.4,versicolor,06-23-2021
5.8,2.6,4.0,1.2,versicolor,06-24-2021
5.0,2.3,3.3,1.0,versicolor,06-25-2021
5.6,2.7,4.2,1.3,versicolor,06-26-2021
5.7,3.0,4.2,1.2,versicolor,06-27-2021
5.7,2.9,4.2,1.3,versicolor,06-28-2021
6.2,2.9,4.3,1.3,versicolor,06-29-2021
5.1,2.5,3.0,1.1,versicolor,06-30-2021
5.7,2.8,4.1,1.3,versicolor,07-01-2021
6.3,3.3,6.0,2.5,virginica,07-02-2021
5.8,2.7,5.1,1.9,virginica,07-03-2021
7.1,3.0,5.9,2.1,virginica,07-04-2021
6.3,2.9,5.6,1.8,virginica,07-05-2021
6.5,3.0,5.8,2.2,virginica,07-06-2021
7.6,3.0,6.6,2.1,virginica,07-07-2021
4.9,2.5,4.5,1.7,virginica,07-08-2021
7.3,2.9,6.3,1.8,virginica,07-09-2021
6.7,2.5,5.8,1.8,virginica,07-10-2021
7.2,3.6,6.1,2.5,virginica,07-11-2021
6.5,3.2,5.1,2.0,virginica,07-12-2021
6.4,2.7,5.3,1.9,virginica,07-13-2021
6.8,3.0,5.5,2.1,virginica,07-14-2021
5.7,2.5,5.0,2.0,virginica,07-15-2021
5.8,2.8,5.1,2.4,virginica,07-16-2021
6.4,3.2,5.3,2.3,virginica,07-17-2021
6.5,3.0,5.5,1.8,virginica,07-18-2021
7.7,3.8,6.7,2.2,virginica,07-19-2021
7.7,2.6,6.9,2.3,virginica,07-20-2021
6.0,2.2,5.0,1.5,virginica,07-21-2021
6.9,3.2,5.7,2.3,virginica,07-22-2021
5.6,2.8,4.9,2.0,virginica,07-23-2021
7.7,2.8,6.7,2.0,virginica,07-24-2021
6.3,2.7,4.9,1.8,virginica,07-25-2021
6.7,3.3,5.7,2.1,virginica,07-26-2021
7.2,3.2,6.0,1.8,virginica,07-27-2021
6.2,2.8,4.8,1.8,virginica,07-28-2021
6.1,3.0,4.9,1.8,virginica,07-29-2021
6.4,2.8,5.6,2.1,virginica,07-30-2021
7.2,3.0,5.8,1.6,virginica,07-31-2021
7.4,2.8,6.1,1.9,virginica,08-01-2021
7.9,3.8,6.4,2.0,virginica,08-02-2021
6.4,2.8,5.6,2.2,virginica,08-03-2021
6.3,2.8,5.1,1.5,virginica,08-04-2021
6.1,2.6,5.6,1.4,virginica,08-05-2021
7.7,3.0,6.1,2.3,virginica,08-06-2021
6.3,3.4,5.6,2.4,virginica,08-07-2021
6.4,3.1,5.5,1.8,virginica,08-08-2021
6.0,3.0,4.8,1.8,virginica,08-09-2021
6.9,3.1,5.4,2.1,virginica,08-10-2021
6.7,3.1,5.6,2.4,virginica,08-11-2021
6.9,3.1,5.1,2.3,virginica,08-12-2021
5.8,2.7,5.1,1.9,virginica,08-13-2021
6.8,3.2,5.9,2.3,virginica,08-14-2021
6.7,3.3,5.7,2.5,virginica,08-15-2021
6.7,3.0,5.2,2.3,virginica,08-16-2021
6.3,2.5,5.0,1.9,virginica,08-17-2021
6.5,3.0,5.2,2.0,virginica,08-18-2021
6.2,3.4,5.4,2.3,virginica,08-19-2021
5.9,3.0,5.1,1.8,virginica,08-20-2021
